Description,Name
% Hhlds Having A Mortgage Debt (2019),PHACYMORT
% Hhlds Own a Primary Residence (2019),PHACYDWL
% Hhlds Own Any Financial Assets (2019),PHACYANY
% Hhlds Own Any Non-Financial Assets (2019),PHACYANYNF
% Hhlds Own Bonds (2019),PHACYBOND
% Hhlds Own Business Assets (2019),PHACYBUS
% Hhlds Own Certificates of Deposit (2019),PHACYCD
% Hhlds Own Investment Real Estate (2019),PHACYIRE
% Hhlds Own Life Insurance with Cash Value (2019),PHACYLIFE
% Hhlds Own Mutual Funds (2019),PHACYMUTF
% Hhlds Own Other Financial Assets (2019),PHACYOTFI
% Hhlds Own Other Managed Assets (2019),PHACYOTMG
% Hhlds Own Other Non-Financial Assets (2019),PHACYOTNF
% Hhlds Own Retirement Accounts (2019),PHACYRETR
% Hhlds Own Savings Bonds (2019),PHACYSAVB
% Hhlds Own Stocks (2019),PHACYSTCK
% Hhlds Own Transaction Accounts (2019),PHACYTRAN
% Hhlds Own Vehicle Assets (2019),PHACYVEH
% Hhlds With Any Debt (2019),PHACYDANY
% Hhlds With Credit Card Debt (2019),PHACYCREDC
% Hhlds With Installment Payment Debt (2019),PHACYINSTL
% Hhlds With Investment Real Estate Debt (2019),PHACYDIRE
% Hhlds With Other Debt (2019),PHACYDOTHR
% Hhlds With Other Lines of Credit Debt (2019),PHACYLNCRE
% of Hhlds Owning a Secondary Residence (2019),PHACYSRE
Agg Credit Card Debt (2019),ADBCYCRED
Agg Family Hhld Inc (2019),INCCYAGGFA
Agg Group Quarters Income (2019),INCCYAGGGP
Agg Installment Loan Debt (2019),ADBCYINSTL
Agg Investment Real Estate Debt (2019),ADBCYIRE
Agg Lines of Credit Debt (2019),ADBCYLNCRE
Agg Mortgage Debt (2019),ADBCYMORT
Agg Net Worth (2019),WRHCYAGG
Agg Non-Family Hhld Inc (2019),INCCYAGGNF
Agg Other Debt (2019),ADBCYOTHR
Agg Total Debts (2019),ADBCYANY
Agg Value of Any Financial Assets (2019),ASTCYANY
Agg Value of Any Non-Financial Assets (2019),ASTCYANYNF
Agg Value of Bonds (Not US Savings) (2019),ASTCYBOND
Agg Value of Business Equity (2019),ASTCYBUS
Agg Value of Cash Value Life Ins (2019),ASTCYLIFE
Agg Value of Certificates of Deposit (2019),ASTCYCD
Agg Value of Home Equity (2019),ASTCYDWL
Agg Value of Investment Property Equity (2019),ASTCYIRE
Agg Value of Mutual Funds (2019),ASTCYMUTF
Agg Value of Other Financial Assets (2019),ASTCYOTFI
Agg Value of Other Managed Accounts (2019),ASTCYOTMG
Agg Value of Other Non-Financial Assets (2019),ASTCYOTNF
Agg Value of Retirement Accounts (2019),ASTCYRETR
Agg Value of Savings Bonds (2019),ASTCYSAVB
Agg Value of Stocks (2019),ASTCYSTCK
Agg Value of Transaction Accounts (2019),ASTCYTRAN
Agg Value of Vehicles Owned (2019),ASTCYVEH
Agg vehicles available owner Hhlds (2019),VAVCYOTOT
Agg vehicles available renter Hhlds (2019),VAVCYRTOT
Aggegrate Income (2019),INCCYAGG
Aggregate Assets (2019),WRHCYASS
Aggregate Debts (2019),WRHCYDBT
Aggregate Household Income (2019),INCCYAGGHD
Aggregate Value of Secondary Home Equity (2019),ASTCYSRE
Average Credit Card Debt (2019),HMVCYCREDC
Average Installment Loan Debt (2019),HMVCYINSTL
Average Investment Real Estate Debt (2019),HMVCYDIRE
Average Lines of Credit Debt (2019),HMVCYLNCRE
Average Mortgage Debt (2019),HMVCYMORT
