geoid_hashed,DADI,DACI,DAGI,DAEI,Inquiries,Google,BLS Job Openings,BLS Current Employment,BLS Future Employment,BLS Generalist Jobs,BLS Gen Jobs Opennings,2019 Completion
,,,,,82193,3.0104e+05,52294,5.6342e+05,5.724e+05,833.71,791.85,177876
a11621,7.55,3.34,22.91,45.88,10,26.168,4.9583,49.478,53.445,0.061775,0.060762,0
a11622,7.48,3.31,22.62,45.32,11,28.406,5.3812,52.587,57.916,0.067058,0.067314,0
a11623,7.53,3.36,22.83,45.73,12,38.014,7.2753,73.302,78.474,0.089741,0.089912,0
a11624,7.45,3.34,22.56,45.2,21,38.865,7.3126,73.454,78.86,0.091751,0.092355,0
a11625,7.4,3.28,22.29,44.66,2,5.8502,1.858,18.911,20.056,0.013811,0.013657,0
a11626,7.37,3.33,22.16,44.43,14,34.998,6.7721,68.819,73.092,0.08262,0.082548,0
a11627,7.24,3.25,21.71,43.56,15,37.272,7.2762,73.791,78.521,0.087989,0.086739,0
a11628,6.99,3.14,21.06,42.28,42,22.105,4.442,45.181,47.946,0.052185,0.052037,0
a11629,6.07,2.72,18.1,36.43,33,39.23,9.523,97.185,102.82,0.092612,0.092286,0
a11630,4.61,2.11,13.66,27.65,20,28.6,5.7235,57.186,61.698,0.067517,0.066354,0
a11631,1.41,0.46,3.61,7.57,16,28.667,5.4369,54.718,58.64,0.067675,0.066806,0
a11632,7,3.48,21.74,43.39,18,41.948,8.1241,83.759,87.779,0.099029,0.09856,0
a11633,6.87,3.46,21.45,42.81,12,37.023,7.1798,72.522,77.459,0.087401,0.087243,0
a11634,6.9,3.43,21.43,42.8,12,38.482,7.437,76.97,80.377,0.090846,0.090666,0
a11635,6.86,3.4,21.36,42.72,39,33.532,6.4646,66.339,69.824,0.07916,0.079097,0
a11636,5.73,2.69,17.27,34.83,21,48.352,11.668,119.11,125.98,0.11415,0.11216,0
a11637,6.56,3.23,20.32,40.64,11,49.416,10.455,107.16,112.91,0.11666,0.11528,0
a11638,6.5,3.27,20.39,40.68,8,42.569,9.731,99.398,105.07,0.10049,0.099581,0
a11639,6.79,3.39,21.13,42.19,11,48.151,9.1403,93.412,98.694,0.11367,0.11286,0
a11640,7.02,3.44,21.65,43.28,13,49.295,9.5396,97.15,102.98,0.11637,0.11595,0
a11641,7.01,3.39,21.51,43.04,8,26.849,5.1337,52.726,55.453,0.063383,0.062498,0
a11642,6.85,3.28,20.93,41.99,25,21.564,4.7097,48.278,50.865,0.050907,0.05045,0
a11643,6.42,3.01,19.33,38.91,4,16.34,3.8328,39.021,41.374,0.038575,0.037935,0
a11644,6.58,3.12,19.92,40.06,14,38.762,7.9356,80.988,85.677,0.091507,0.091226,0
a11645,6.48,3.04,19.49,39.19,24,35.569,9.6807,99.269,104.55,0.08397,0.082835,0
a11646,6.7,3.16,20.2,40.57,22,57.036,13.43,138.33,145.1,0.13465,0.13263,0
a11647,6.51,3.15,19.99,40.06,14,42.07,10.02,103.03,108.24,0.099316,0.098209,0
a11648,6.13,2.97,18.92,37.93,9,30.412,8.2446,84.772,89.063,0.071795,0.070695,0
a11649,5.54,2.64,16.87,34.04,23,45.105,10.863,112.14,117.38,0.10648,0.1059,0
a11650,5.73,2.72,17.47,35.21,20,44.484,9.6666,98.978,104.39,0.10502,0.10388,0
a11651,6.49,3.22,20.26,40.49,9,27.147,6.7647,69.471,73.069,0.064086,0.063282,0
a11652,6.65,3.3,20.68,41.34,13,42.885,8.2047,84.05,88.608,0.10124,0.1001,0
a11653,6.72,3.29,20.79,41.59,8,18.292,4.0221,41.093,43.428,0.043184,0.04327,0
a11654,6.8,3.32,20.97,41.95,5,21.984,4.2235,43.562,45.635,0.051898,0.051682,0
a11655,6.7,3.25,20.63,41.31,4,9.73,2.1102,21.601,22.788,0.02297,0.022723,0
a11656,6.76,3.28,20.78,41.63,8,24.769,4.7796,49.186,51.635,0.058473,0.057701,0
a11657,6.86,3.34,21.09,42.21,14,50.529,9.6364,99.258,104.11,0.11929,0.11712,0
a11658,6.81,3.27,20.83,41.75,2,6.2394,1.5376,15.837,16.612,0.014729,0.014546,0
a11659,5.82,2.78,17.87,35.98,12,14.291,2.8579,28.715,30.82,0.033737,0.033587,0
a11660,5.75,2.74,17.58,35.42,8,31.227,6.2266,64.674,67.314,0.073719,0.071724,0
a11661,5.84,2.79,17.94,36.14,34,24.872,4.7768,48.802,51.577,0.058717,0.057771,0
a11662,5.96,2.85,18.26,36.73,18,38.433,7.8312,79.404,84.51,0.090731,0.090622,0
a11663,7.44,3.49,22.65,45.31,20,32.547,6.4958,65.326,70.057,0.076834,0.076318,0
a11664,7.39,3.48,22.45,44.93,20,35.004,7.0418,70.461,75.918,0.082634,0.083697,0
a11665,7.5,3.49,22.85,45.7,25,49.495,9.8147,99.444,105.91,0.11685,0.11735,0
a11666,7.23,3.45,22.1,44.27,47,31.781,6.1425,61.693,66.24,0.075026,0.074304,0
a11667,7.23,3.45,22.08,44.2,30,26.338,5.1115,52.132,55.184,0.062177,0.061591,0
a11668,7.51,3.5,22.98,45.93,8,15.063,2.9735,29.6,32.046,0.03556,0.035782,0
a11669,7.23,3.51,22.52,44.99,58,29.877,5.7911,59.142,62.527,0.070532,0.069459,0
a11670,7.34,3.51,22.61,45.17,25,60.423,11.716,118.94,126.44,0.14264,0.1419,0
a11671,7.26,3.49,22.3,44.56,9,24.69,5.0638,51.515,54.659,0.058286,0.058665,0
a11672,7.17,3.44,21.94,43.89,12,22.811,4.7414,48.697,51.215,0.05385,0.053704,0
a11673,7.21,3.46,22.1,44.2,13,33.939,6.8862,70.053,74.33,0.080122,0.079396,0
a11674,7.25,3.5,22.37,44.69,13,28.156,5.3115,54.031,57.332,0.066469,0.065024,0
a11675,7.17,3.51,22.27,44.45,23,27.907,6.1745,63.125,66.672,0.065881,0.065528,0
a11676,7.12,3.49,22.04,44.02,23,42.192,8.0906,82.525,87.347,0.099603,0.099194,0
a11677,7.13,3.45,21.92,43.82,1,12.771,2.8828,29.565,31.135,0.030148,0.029664,0
a11678,7.18,3.47,22.05,44.1,8,28.004,5.3793,55.37,58.114,0.06611,0.06603,0
a11679,7.15,3.52,22.2,44.31,8,34.967,6.7141,68.924,72.52,0.082548,0.081377,0
a11680,7.33,3.51,22.72,45.34,8,23.528,4.5201,46.543,48.833,0.055544,0.054706,0
a11681,7.34,3.51,22.7,45.32,9,24.38,4.7101,48.22,50.865,0.057554,0.056904,0
a11682,7.39,3.5,22.87,45.66,13,26.514,5.0686,52.098,54.752,0.062593,0.062112,0
a11683,7.28,3.49,22.68,45.22,3,23.206,4.3519,44.156,46.966,0.054783,0.054837,0
a11684,7.29,3.5,22.68,45.24,17,38.014,7.3596,75.515,79.49,0.089741,0.089344,0
a11685,7.14,3.52,22.29,44.45,18,38.215,8.2109,83.561,88.631,0.090214,0.089365,0
a11686,7.24,3.52,22.49,44.88,14,41.109,7.2702,73.663,78.451,0.097048,0.096081,0
a11687,7.14,3.51,22.41,44.69,31,17.265,3.5296,35.842,38.093,0.040757,0.040629,0
a11688,7.24,3.51,22.56,44.97,6,16.103,3.1939,32.779,34.497,0.038015,0.042456,0
a11689,7.05,3.53,22.08,44.01,8,23.845,4.1294,42.153,44.584,0.056291,0.055836,0
a11690,7.08,3.53,22.1,44.07,7,27.591,5.2466,53.821,56.667,0.065134,0.064398,0
a11691,6.97,3.5,21.71,43.31,2,23.924,4.6447,47.475,50.153,0.056477,0.0561,0
a11692,6.82,3.51,21.51,42.88,27,32.553,5.949,60.901,64.243,0.076849,0.07607,0
a11693,6.94,3.54,21.8,43.43,1,16.346,2.9755,30.404,32.128,0.03859,0.038332,0
a11694,6.96,3.53,21.79,43.44,5,26.612,5.1571,53.029,55.71,0.062823,0.062691,0
