key,student_geoid_hashed,student_state,nearest_campus_id,nearest_campus_hashed_geoid,nearest_campus_state,nearest_campus_distance
3156,a41116,NJ,5,a58089,PA,35.3072
1731,a22092,IL,16,a22078,IL,11.1211
4155,a43491,NY,14,a40859,NJ,36.6716
4250,a44356,NY,18,a46880,NY,22.6004
242,a11984,CO,30,a12127,CO,2.71135
360,a12155,CO,30,a12127,CO,2.71135
2693,a30712,MD,15,a30451,MD,22.607
4948,a47892,NY,18,a46880,NY,22.6004
4424,a45007,NY,18,a46880,NY,22.6004
2138,a24908,IN,4,a24882,IN,49.0342
814,a13339,CT,57,a13101,CT,45.6509
1805,a22268,IL,16,a22078,IL,11.1211
547,a12948,CT,57,a13101,CT,45.6509
1800,a22256,IL,16,a22078,IL,11.1211
1444,a21326,IL,16,a22078,IL,11.1211
4807,a47096,NY,2,a42598,NJ,14.115
2173,a24960,IN,4,a24882,IN,49.0342
3706,a42119,NJ,14,a40859,NJ,36.6716
2792,a30859,MD,15,a30451,MD,22.607
4292,a44581,NY,18,a46880,NY,22.6004
4351,a44859,NY,2,a42598,NJ,14.115
4862,a47167,NY,14,a40859,NJ,36.6716
514,a12854,CO,30,a12127,CO,2.71135
5711,a62963,TX,11,a66091,TX,49.3194
3395,a41610,NJ,2,a42598,NJ,14.115
4098,a43366,NY,18,a46880,NY,22.6004
1865,a22524,IL,16,a22078,IL,11.1211
5385,a60440,TN,17,a60354,TN,48.4827
754,a13250,CT,57,a13101,CT,45.6509
5035,a56125,PA,5,a58089,PA,35.3072
1907,a22893,IL,16,a22078,IL,11.1211
6206,a68657,VA,15,a30451,MD,22.607
4959,a47908,NY,18,a46880,NY,22.6004
2966,a31758,MA,66,a13186,CT,49.2057
3638,a41993,NJ,67,a41808,NJ,33.1584
1278,a19345,GA,40,a18790,GA,45.353
93,a11727,CO,30,a12127,CO,2.71135
581,a13027,CT,58,a13035,CT,27.775
4984,a47986,NY,18,a46880,NY,22.6004
1024,a13677,CT,66,a13186,CT,49.2057
2646,a30609,MD,15,a30451,MD,22.607
3756,a42206,NJ,2,a42598,NJ,14.115
896,a13474,CT,58,a13035,CT,27.775
2742,a30791,MD,15,a30451,MD,22.607
2288,a25156,IN,4,a24882,IN,49.0342
1104,a18688,GA,40,a18790,GA,45.353
779,a13279,CT,66,a13186,CT,49.2057
4368,a44905,NY,18,a46880,NY,22.6004
4821,a47113,NY,2,a42598,NJ,14.115
2721,a30756,MD,15,a30451,MD,22.607
3247,a41344,NJ,2,a42598,NJ,14.115
